Stock A,Stock B,Correlation,Lag,Transfer Entropy
SHRIRAMFIN.NS,KOTAKBANK.NS,0.44146250460103503,-1,0.3009589475411778
SHRIRAMFIN.NS,ADANIPOWER.NS,0.4200844684651954,-20,0.29121329569294296
SHRIRAMFIN.NS,BOSCHLTD.NS,0.7595312895250065,4,0.2543915523629665
SHRIRAMFIN.NS,HCLTECH.NS,0.8210857232365605,20,0.2978741802695838
SHRIRAMFIN.NS,MARUTI.NS,-0.47509518051822175,20,0.460006591248479
SHRIRAMFIN.NS,AMBUJACEM.NS,-0.46488567944795767,20,0.4078185247932924
SHRIRAMFIN.NS,NTPC.NS,0.7630257802611814,-20,0.3617714774607217
SHRIRAMFIN.NS,LT.NS,0.24725042808709433,-1,0.548905042452156
SHRIRAMFIN.NS,ASIANPAINT.NS,0.6143949524810758,-20,0.2373481316389685
SHRIRAMFIN.NS,RECLTD.NS,0.7284403312195256,-20,0.3905182881591285
SHRIRAMFIN.NS,APOLLOHOSP.NS,0.8130398888610415,18,0.38998204763138933
SHRIRAMFIN.NS,PIDILITIND.NS,0.7193921602488347,-14,0.41976792597317925
SHRIRAMFIN.NS,ICICIPRULI.NS,0.875286153937093,-1,0.2740167310008068
SHRIRAMFIN.NS,TORNTPHARM.NS,0.8635974734504073,-1,0.2882158669843764
SHRIRAMFIN.NS,PNB.NS,-0.6920938096604405,20,0.3932465553095148
SHRIRAMFIN.NS,BEL.NS,0.5626577919767577,-19,0.19195116798603562
SHRIRAMFIN.NS,TECHM.NS,0.7449380676797209,20,0.305149769652703
SHRIRAMFIN.NS,LICI.NS,0.45380417675537216,-20,0.40913609201802115
SHRIRAMFIN.NS,CIPLA.NS,0.7620232325862546,-18,0.3177342481846359
SHRIRAMFIN.NS,NHPC.NS,-0.4786531601639014,20,0.38026808589519345
SHRIRAMFIN.NS,JIOFIN.NS,-0.5422733008475068,20,0.32616398634507915
SHRIRAMFIN.NS,TATAMOTORS.NS,-0.3401855047671948,20,0.3044793475413936
SHRIRAMFIN.NS,DABUR.NS,0.7037753275071869,-20,0.35782792834863075
SHRIRAMFIN.NS,ONGC.NS,0.4987274251641483,-20,0.4831537088142477
