Stock A,Stock B,Correlation,Lag,Category
BAJAJHLDNG.NS,TATACONSUM.NS,-0.5628573573239185,24,Negative
BAJAJHLDNG.NS,INFY.NS,0.8016058898951003,-4,Positive
BAJAJHLDNG.NS,BRITANNIA.NS,-0.207888857927127,24,No Correlation
BAJAJHLDNG.NS,ZYDUSLIFE.NS,-0.498904863797128,24,No Correlation
BAJAJHLDNG.NS,ADANIENT.NS,-0.7604648510788808,-4,Negative
BAJAJHLDNG.NS,HAL.NS,-0.5724165467849488,24,Negative
BAJAJHLDNG.NS,ADANIENSOL.NS,-0.7659409433924519,-3,Negative
BAJAJHLDNG.NS,LODHA.NS,-0.4093650516474949,24,No Correlation
BAJAJHLDNG.NS,TCS.NS,0.5606370437212551,-23,Positive
BAJAJHLDNG.NS,JINDALSTEL.NS,-0.6488867584372527,24,Negative
BAJAJHLDNG.NS,ITC.NS,0.6006341164520121,-24,Positive
BAJAJHLDNG.NS,TATASTEEL.NS,-0.8601443376035595,24,Negative
BAJAJHLDNG.NS,HINDUNILVR.NS,0.3471238018245544,-22,No Correlation
BAJAJHLDNG.NS,HDFCLIFE.NS,0.48086833259876965,-24,No Correlation
BAJAJHLDNG.NS,BANKBARODA.NS,-0.8365780819819026,9,Negative
BAJAJHLDNG.NS,PFC.NS,-0.44747145149281864,24,No Correlation
BAJAJHLDNG.NS,DMART.NS,-0.6486465700835283,24,Negative
BAJAJHLDNG.NS,SBIN.NS,-0.4946299345674591,24,No Correlation
BAJAJHLDNG.NS,GODREJCP.NS,-0.5961005015808892,24,Negative
BAJAJHLDNG.NS,UNITDSPR.NS,0.8074717667257783,-19,Positive
BAJAJHLDNG.NS,UNIONBANK.NS,-0.8597582623341833,23,Negative
BAJAJHLDNG.NS,KOTAKBANK.NS,0.5538899059771117,-1,Positive
BAJAJHLDNG.NS,ADANIPOWER.NS,-0.7606709135848343,24,Negative
BAJAJHLDNG.NS,BOSCHLTD.NS,0.581526701834908,-24,Positive
BAJAJHLDNG.NS,HCLTECH.NS,0.8122971019781926,6,Positive
BAJAJHLDNG.NS,MARUTI.NS,-0.5022295270131789,-18,Negative
BAJAJHLDNG.NS,AMBUJACEM.NS,-0.8141219293157804,24,Negative
BAJAJHLDNG.NS,NTPC.NS,-0.25140888862188115,24,No Correlation
BAJAJHLDNG.NS,LT.NS,-0.2665241254668172,24,No Correlation
BAJAJHLDNG.NS,ASIANPAINT.NS,-0.4382293812389911,24,No Correlation
BAJAJHLDNG.NS,RECLTD.NS,-0.42201593712604973,24,No Correlation
BAJAJHLDNG.NS,APOLLOHOSP.NS,0.7828963077644466,-11,Positive
BAJAJHLDNG.NS,PIDILITIND.NS,-0.2710026372229107,24,No Correlation
BAJAJHLDNG.NS,ICICIPRULI.NS,0.5991229966979954,-24,Positive
BAJAJHLDNG.NS,TORNTPHARM.NS,0.7482065713001812,-16,Positive
BAJAJHLDNG.NS,PNB.NS,-0.9093940093839433,10,Negative
BAJAJHLDNG.NS,BEL.NS,0.4328534713329138,-24,No Correlation
BAJAJHLDNG.NS,TECHM.NS,0.8908029672221289,-13,Positive
BAJAJHLDNG.NS,LICI.NS,-0.697989568046418,24,Negative
BAJAJHLDNG.NS,CIPLA.NS,0.37526321570042215,-24,No Correlation
BAJAJHLDNG.NS,NHPC.NS,-0.8716215539988639,24,Negative
BAJAJHLDNG.NS,JIOFIN.NS,-0.8066634098608377,21,Negative
BAJAJHLDNG.NS,TATAMOTORS.NS,-0.7040968226895442,24,Negative
BAJAJHLDNG.NS,DABUR.NS,-0.4228786888724527,24,No Correlation
BAJAJHLDNG.NS,ONGC.NS,-0.5142323006905714,24,Negative
BAJAJHLDNG.NS,IRFC.NS,-0.6967646914742985,24,Negative
BAJAJHLDNG.NS,DIVISLAB.NS,0.9005264776108923,-23,Positive
BAJAJHLDNG.NS,GAIL.NS,-0.4795402222569255,24,No Correlation
BAJAJHLDNG.NS,LTIM.NS,0.7883450776805835,-10,Positive
BAJAJHLDNG.NS,IRCTC.NS,-0.9061585733474709,14,Negative
BAJAJHLDNG.NS,ADANIGREEN.NS,-0.6659025135931325,24,Negative
BAJAJHLDNG.NS,VEDL.NS,0.5104298686170315,-24,Positive
BAJAJHLDNG.NS,EICHERMOT.NS,0.7085845848532238,-11,Positive
BAJAJHLDNG.NS,CANBK.NS,-0.902284494591968,10,Negative
BAJAJHLDNG.NS,IOC.NS,-0.6808495059651118,24,Negative
BAJAJHLDNG.NS,GRASIM.NS,0.4188961330047055,-24,No Correlation
BAJAJHLDNG.NS,TVSMOTOR.NS,0.5761258289642721,-10,Positive
BAJAJHLDNG.NS,HEROMOTOCO.NS,-0.5508961627939938,24,Negative
BAJAJHLDNG.NS,MOTHERSON.NS,0.391191724173872,-24,No Correlation
BAJAJHLDNG.NS,DLF.NS,-0.5061357418341867,10,Negative
BAJAJHLDNG.NS,BPCL.NS,-0.3963004499088216,24,No Correlation
BAJAJHLDNG.NS,JSWENERGY.NS,0.3202216606375587,-24,No Correlation
BAJAJHLDNG.NS,BAJAJ-AUTO.NS,0.23319913253220215,-24,No Correlation
BAJAJHLDNG.NS,M&M.NS,0.7614703859751597,-24,Positive
BAJAJHLDNG.NS,TRENT.NS,0.7235947965641835,-24,Positive
BAJAJHLDNG.NS,TATAPOWER.NS,-0.5167967286023788,24,Negative
BAJAJHLDNG.NS,ABB.NS,-0.5693950534107951,24,Negative
BAJAJHLDNG.NS,SIEMENS.NS,0.33254328185401544,-24,No Correlation
BAJAJHLDNG.NS,BHEL.NS,-0.8358917644450861,24,Negative
BAJAJHLDNG.NS,ULTRACEMCO.NS,0.6198492950588266,-5,Positive
BAJAJHLDNG.NS,HAVELLS.NS,-0.45102847188604706,24,No Correlation
BAJAJHLDNG.NS,VBL.NS,-0.3489141224792862,24,No Correlation
CHOLAFIN.NS,BAJAJFINSV.NS,0.45705229158099414,1,No Correlation
CHOLAFIN.NS,BAJFINANCE.NS,0.44047619281770034,-1,No Correlation
CHOLAFIN.NS,INDUSINDBK.NS,-0.2291153019649189,24,No Correlation
CHOLAFIN.NS,HINDALCO.NS,0.7227424876924176,9,Positive
